asu	read	taxon	weight
KUCORPI.KAR	177.35	other	0
KUCORPI.PAL1	463.95	other	0
KUCORPI.PAL2	1620.01	other	0
			
			
			
			
			
			
			
			
			
			
