"amphipoda" "annelida" "anthozoa" "arachnida" "arthropoda" "ascidea" "bivalvia" "bryozoa" "chordata" "cirrepedia" "cnidaria" "copepoda" "decapoda" "echinodermata" "echinoidea" "fish" "gastropoda" "holothuroidea" "hydrozoa" "insecta" "isoposa" "malacostra" "maxillopoda" "mollusca" "nematoda" "nemertea" "oligochaeta" "ophiuroidea" "platyhelminthes" "polychaeta" "polyplacophora" "porifera" "pycnogonidae" "sipuncula" "stomatopoda" "unclassified"
"IOBAS.CHEA" 3.58 0 0 0 28.49 0 5.63 1.03 0 9.6 0 0 369.99 0 0 0.84 2.6 0 0 17.48 0.97 0 0 0 0 36.71 4.95 1.84 0 7766.78 0.96 0 0 1.78 0 19.77
"IOBAS.CHEB" 2.08 2.79 0 0 14.86 0 2.22 2.1 0 5.63 0 0 53.73 0 0 0 0.52 0 0 17.79 0 0 0 0 0 38.75 1.76 0 0 8117.76 0 0 0 4.29 0 8.72
"IOBAS.KAM" 2.91 0 0.85 0 3.49 0 0 4.43 0 0 0 0 29.11 0 0 0 8.57 0 0 0 0 0 0 0 0 1.45 0 6.66 0 8157.02 0 0 0 0 0 58.51
"KAUST.A1" 1.11 0 0 5.31 847.98 0 598.51 0 1.87 7.12 0 0 5326.96 0 327.86 0 16.88 0 0 160.72 0 1.83 0 0 0 0 0 0 0 343.16 0 0 0 18.27 0 615.42
"KAUST.C1" 2.93 0 0 10.78 82.45 0 651.95 0 0 6.35 0 0 102.81 0 1.2 0 2.43 0 0 4.68 0 0 0 0 0 0 0 32.18 0 674.56 5.39 0 0 6560.02 61.07 74.2
"KAUST.C2" 1.78 0 330.76 38.03 66.7 0 1.11 0 39.7 3.79 0 0 180.07 0 1.71 1.23 5731.61 1.27 0 1.13 0 0 0 0 0 0 0 1209.4 0 487.89 0 0 0 15.36 0 161.46
"KAUST.C3" 0 0 0 12.48 484.01 0 832.23 0 46.26 0 0 0 3394.95 0 14.98 0 13.73 0 0 4.46 0 0 0 0 0 5.26 0 0 0 141.57 3213.58 0 0 0 0 109.49
"KUCORPI.KAR" 5.1 0 0 0 252.8 0 12.62 0 0 7767.04 3.21 0 5.72 0 0 26.66 4.88 0 84.7 7.24 16.77 0 0 0 0 0 6.22 0 0 17.26 0 1.67 0 1.43 0 59.68
"KUCORPI.PAL1" 601.68 0 0 0 668.83 0 100.83 0 0 6170.72 13.13 0 23.21 0 34.76 65.77 4.54 0 46.91 92.8 23.59 0 0 1.78 138.88 1.76 26.4 2.77 0 57.14 0 0 0 5.35 0 192.15
"KUCORPI.PAL2" 1918.57 0 0.92 0 694.07 0 386.64 0 63.92 3344.15 0 0 19.31 0 89.03 770.5 77.56 0 18.12 172.29 0 0 0 0 0 0 0 2.67 0 216 0 0 0 2.78 0 763.77
